Journal,ISSN,EISSN,Web of Science,IF(2025),Category_1,IF Quartile(2025)_1,IF Rank(2025)_1,Category_2,IF Quartile(2025)_2,IF Rank(2025)_2,Category_3,IF Quartile(2025)_3,IF Rank(2025)_3,Category_4,IF Quartile(2025)_4,IF Rank(2025)_4,Category_5,IF Quartile(2025)_5,IF Rank(2025)_5,Category_6,IF Quartile(2025)_6,IF Rank(2025)_6
Endocrine Practice,1530-891X,1934-2403,SCIE,4.4,ENDOCRINOLOGY & METABOLISM,Q2,59/198,,,,,,,,,,,,,,,
ENDOCRINE-RELATED CANCER,1351-0088,1479-6821,SCIE,4.4,ENDOCRINOLOGY & METABOLISM,Q2,59/198,ONCOLOGY,Q2,106/333,,,,,,,,,,,,
PLANTA,0032-0935,1432-2048,SCIE,4.4,PLANT SCIENCES,Q1,51/285,,,,,,,,,,,,,,,
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,1063-6536,1558-0865,SCIE,4.4,AUTOMATION & CONTROL SYSTEMS,Q2,23/88,"ENGINEERING, ELECTRICAL & ELECTRONIC",Q2,120/369,,,,,,,,,,,,
INTERNATIONAL BIODETERIORATION & BIODEGRADATION,0964-8305,1879-0208,SCIE,4.4,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Q2,59/180,ENVIRONMENTAL SCIENCES,Q2,152/395,,,,,,,,,,,,
JOURNAL OF NEURAL TRANSMISSION,0300-9564,1435-1463,SCIE,4.4,CLINICAL NEUROLOGY,Q1,54/296,NEUROSCIENCES,Q2,92/330,,,,,,,,,,,,
Journal of Public Transportation,1077-291X,2375-0901,SSCI,4.4,TRANSPORTATION,Q2,22/66,,,,,,,,,,,,,,,
"IEEE Transactions on Biometrics, Behavior, and Identity Science",N/A,2637-6407,ESCI,4.4,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Q2,85/210,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,Q2,15/39,,,,,,,,,,,,
RESEARCH IN MICROBIOLOGY,0923-2508,1769-7123,SCIE,4.4,MICROBIOLOGY,Q2,56/167,,,,,,,,,,,,,,,
Computers and Concrete,1598-8198,1598-818X,SCIE,4.4,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",Q2,66/185,CONSTRUCTION & BUILDING TECHNOLOGY,Q1,22/104,"ENGINEERING, CIVIL",Q1,47/193,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",Q1,7/37,,,,,,
Echo Research and Practice,2055-0464,2055-0464,ESCI,4.4,CARDIAC & CARDIOVASCULAR SYSTEMS,Q1,57/237,,,,,,,,,,,,,,,
Hygiene and Environmental Health Advances,N/A,2773-0492,ESCI,4.4,ENVIRONMENTAL SCIENCES,Q2,152/395,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,60/443,,,,,,,,,,,,
International Journal of Climate Change Strategies and Management,1756-8692,1756-8706,SSCI,4.4,ENVIRONMENTAL STUDIES,Q2,64/202,,,,,,,,,,,,,,,
Oil Crop Science,2096-2428,2666-626X,ESCI,4.4,PLANT SCIENCES,Q1,51/285,,,,,,,,,,,,,,,
Physical Review Applied,2331-7019,2331-7019,SCIE,4.4,"PHYSICS, APPLIED",Q2,59/191,,,,,,,,,,,,,,,
Frontiers in Cellular Neuroscience,N/A,1662-5102,SCIE,4.4,NEUROSCIENCES,Q2,92/330,,,,,,,,,,,,,,,
Journal of Advanced Joining Processes,2666-3309,2666-3309,ESCI,4.4,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q2,203/472,METALLURGY & METALLURGICAL ENGINEERING,Q1,22/97,,,,,,,,,,,,
EuroMed Journal of Business,1450-2194,1758-888X,ESCI,4.4,BUSINESS,Q2,116/323,,,,,,,,,,,,,,,
ASN Neuro,1759-0914,1759-0914,SCIE,4.4,NEUROSCIENCES,Q2,92/330,,,,,,,,,,,,,,,
PROCESS BIOCHEMISTRY,1359-5113,1873-3298,SCIE,4.4,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2,115/328,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Q2,59/180,"ENGINEERING, CHEMICAL",Q2,68/183,,,,,,,,,
Frontiers in Molecular Neuroscience,1662-5099,1662-5099,SCIE,4.4,NEUROSCIENCES,Q2,92/330,,,,,,,,,,,,,,,
Logistics-Basel,N/A,2305-6290,ESCI,4.4,MANAGEMENT,Q2,139/426,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,Q1,26/109,,,,,,,,,,,,
Diabetes & Metabolic Syndrome-Clinical Research & Reviews,1871-4021,1878-0334,ESCI,4.4,ENDOCRINOLOGY & METABOLISM,Q2,59/198,,,,,,,,,,,,,,,
IEEE Transactions on Human-Machine Systems,2168-2291,2168-2305,SCIE,4.4,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Q2,85/210,"COMPUTER SCIENCE, CYBERNETICS",Q2,11/34,,,,,,,,,,,,
Journal of the Korean Ceramic Society,1229-7801,2234-0491,SCIE,4.4,"MATERIALS SCIENCE, CERAMICS",Q1,4/34,,,,,,,,,,,,,,,
Mitigation and Adaptation Strategies for Global Change,1381-2386,1573-1596,SCIE,4.4,ENVIRONMENTAL SCIENCES,Q2,152/395,,,,,,,,,,,,,,,
Bioengineering-Basel,N/A,2306-5354,SCIE,4.4,"ENGINEERING, BIOMEDICAL",Q2,47/130,,,,,,,,,,,,,,,
Health Promotion Perspectives,2228-6497,2228-6497,ESCI,4.4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,60/443,,,,,,,,,,,,,,,
Materials Science in Additive Manufacturing,N/A,2810-9635,ESCI,4.4,"ENGINEERING, MANUFACTURING",Q2,27/71,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q2,203/472,,,,,,,,,,,,
Chemosensors,N/A,2227-9040,SCIE,4.4,"CHEMISTRY, ANALYTICAL",Q2,33/110,ELECTROCHEMISTRY,Q2,18/44,INSTRUMENTS & INSTRUMENTATION,Q2,22/81,,,,,,,,,
Frontiers in Environmental Science,N/A,2296-665X,SCIE,4.4,ENVIRONMENTAL SCIENCES,Q2,152/395,,,,,,,,,,,,,,,
Journal of the Endocrine Society,N/A,2472-1972,ESCI,4.4,ENDOCRINOLOGY & METABOLISM,Q2,59/198,,,,,,,,,,,,,,,
Journal of Cardiovascular Aging,N/A,2768-5993,ESCI,4.4,CARDIAC & CARDIOVASCULAR SYSTEMS,Q1,57/237,,,,,,,,,,,,,,,
Journal of Personal Selling & Sales Management,0885-3134,1557-7813,ESCI,4.4,BUSINESS,Q2,116/323,,,,,,,,,,,,,,,
IEEE Engineering Management Review,0360-8581,1937-4178,ESCI,4.4,"ENGINEERING, INDUSTRIAL",Q2,24/69,MANAGEMENT,Q2,139/426,,,,,,,,,,,,
JOURNAL OF PROCESS CONTROL,0959-1524,1873-2771,SCIE,4.4,AUTOMATION & CONTROL SYSTEMS,Q2,23/88,"ENGINEERING, CHEMICAL",Q2,68/183,,,,,,,,,,,,
LANGMUIR,0743-7463,1520-5827,SCIE,4.4,"CHEMISTRY, MULTIDISCIPLINARY",Q2,97/250,"CHEMISTRY, PHYSICAL",Q2,85/191,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q2,203/472,,,,,,,,,
Legume Science,2639-6181,2639-6181,ESCI,4.4,FOOD SCIENCE & TECHNOLOGY,Q2,65/187,,,,,,,,,,,,,,,
Medicinal Plant Biology,N/A,2835-6969,ESCI,4.4,PLANT SCIENCES,Q1,51/285,,,,,,,,,,,,,,,
Frontiers in Molecular Biosciences,N/A,2296-889X,SCIE,4.4,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2,115/328,,,,,,,,,,,,,,,
Immunotherapy Advances,N/A,2732-4303,ESCI,4.4,IMMUNOLOGY,Q2,63/183,,,,,,,,,,,,,,,
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,1010-6030,1873-2666,SCIE,4.4,"CHEMISTRY, PHYSICAL",Q2,85/191,,,,,,,,,,,,,,,
Therapeutic Advances in Pulmonary and Critical Care Medicine,N/A,2976-8675,ESCI,4.4,RESPIRATORY SYSTEM,Q1,23/107,,,,,,,,,,,,,,,
AICHE JOURNAL,0001-1541,1547-5905,SCIE,4.4,"ENGINEERING, CHEMICAL",Q2,68/183,,,,,,,,,,,,,,,
JOURNAL OF MATERIALS SCIENCE,0022-2461,1573-4803,SCIE,4.4,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q2,203/472,,,,,,,,,,,,,,,
Frontiers in Drug Delivery,N/A,2674-0850,ESCI,4.4,PHARMACOLOGY & PHARMACY,Q2,94/356,,,,,,,,,,,,,,,
Materials for Quantum Technology,2633-4356,2633-4356,ESCI,4.4,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q2,203/472,QUANTUM SCIENCE & TECHNOLOGY,Q2,13/28,,,,,,,,,,,,
BIOMEDICAL MICRODEVICES,1387-2176,1572-8781,SCIE,4.4,"ENGINEERING, BIOMEDICAL",Q2,47/130,NANOSCIENCE & NANOTECHNOLOGY,Q3,77/148,,,,,,,,,,,,
APL Energy,N/A,2770-9000,ESCI,4.4,ENERGY & FUELS,Q3,109/191,,,,,,,,,,,,,,,
Wiley Interdisciplinary Reviews-RNA,1757-7004,1757-7012,SCIE,4.4,CELL BIOLOGY,Q2,93/207,,,,,,,,,,,,,,,
BIOCHEMICAL SOCIETY TRANSACTIONS,0300-5127,1470-8752,SCIE,4.4,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2,115/328,,,,,,,,,,,,,,,
Proceedings of the Institution of Mechanical Engineers Part N-Journal of Nanomaterials Nanoengineering and Nanosystems,2397-7914,2397-7922,ESCI,4.4,NANOSCIENCE & NANOTECHNOLOGY,Q3,77/148,,,,,,,,,,,,,,,
DIGITAL CREATIVITY,1462-6268,1744-3806,AHCI,4.3,ART,N/A,N/A,,,,,,,,,,,,,,,
SOCIOLOGICAL THEORY,0735-2751,1467-9558,SSCI,4.3,SOCIOLOGY,Q1,7/222,,,,,,,,,,,,,,,
PUBLIC UNDERSTANDING OF SCIENCE,0963-6625,1361-6609,"SSCI, AHCI",4.3,COMMUNICATION,Q1,20/227,HISTORY & PHILOSOPHY OF SCIENCE,Q1,2/111,,,,,,,,,,,,
Applied Corpus Linguistics,N/A,2666-7991,ESCI,4.3,LANGUAGE & LINGUISTICS,N/A,N/A,LINGUISTICS,Q1,23/312,,,,,,,,,,,,
AMERICAN JOURNAL OF SOCIOLOGY,0002-9602,1537-5390,SSCI,4.3,SOCIOLOGY,Q1,7/222,,,,,,,,,,,,,,,
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,0009-921X,1528-1132,SCIE,4.3,ORTHOPEDICS,Q1,19/147,SURGERY,Q1,28/321,,,,,,,,,,,,
COMPARATIVE EDUCATION,0305-0068,1360-0486,SSCI,4.3,EDUCATION & EDUCATIONAL RESEARCH,Q1,61/760,,,,,,,,,,,,,,,
AGRICULTURE AND HUMAN VALUES,0889-048X,1572-8366,"SCIE, SSCI",4.3,"AGRICULTURE, MULTIDISCIPLINARY",Q1,19/95,HISTORY & PHILOSOPHY OF SCIENCE,Q1,2/111,SOCIOLOGY,Q1,7/222,,,,,,,,,
Journal of Family Theory & Review,1756-2570,1756-2589,SSCI,4.3,FAMILY STUDIES,Q1,2/66,,,,,,,,,,,,,,,
Journal of Computing in Higher Education,1042-1726,1867-1233,SSCI,4.3,EDUCATION & EDUCATIONAL RESEARCH,Q1,61/760,,,,,,,,,,,,,,,
HIGHER EDUCATION,0018-1560,1573-174X,SSCI,4.3,EDUCATION & EDUCATIONAL RESEARCH,Q1,61/760,,,,,,,,,,,,,,,
TEACHING AND TEACHER EDUCATION,0742-051X,1879-2480,SSCI,4.3,EDUCATION & EDUCATIONAL RESEARCH,Q1,61/760,,,,,,,,,,,,,,,
ENTOMOLOGIA GENERALIS,0171-8177,2363-7102,SCIE,4.3,ENTOMOLOGY,Q1,5/110,,,,,,,,,,,,,,,
SYSTEMATIC ENTOMOLOGY,0307-6970,1365-3113,SCIE,4.3,ENTOMOLOGY,Q1,5/110,EVOLUTIONARY BIOLOGY,Q1,9/54,,,,,,,,,,,,
BEHAVIOUR RESEARCH AND THERAPY,0005-7967,1873-622X,SSCI,4.3,"PSYCHOLOGY, CLINICAL",Q1,22/184,,,,,,,,,,,,,,,
Journal of Marketing Communications,1352-7266,1466-4445,ESCI,4.3,BUSINESS,Q2,121/323,COMMUNICATION,Q1,20/227,,,,,,,,,,,,
MANAGEMENT IN EDUCATION,0892-0206,1741-9883,ESCI,4.3,EDUCATION & EDUCATIONAL RESEARCH,Q1,61/760,,,,,,,,,,,,,,,
ORE GEOLOGY REVIEWS,0169-1368,1872-7360,SCIE,4.3,GEOLOGY,Q1,2/61,MINERALOGY,Q1,5/30,MINING & MINERAL PROCESSING,Q1,7/35,,,,,,,,,
Politics & Gender,1743-923X,1743-9248,SSCI,4.3,POLITICAL SCIENCE,Q1,26/332,WOMENS STUDIES,Q1,1/71,,,,,,,,,,,,
Dental and Medical Problems,1644-387X,2300-9020,ESCI,4.3,"DENTISTRY, ORAL SURGERY & MEDICINE",Q1,21/165,"MEDICINE, GENERAL & INTERNAL",Q1,52/336,,,,,,,,,,,,
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,1438-4639,1618-131X,SCIE,4.3,INFECTIOUS DISEASES,Q1,32/141,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,66/443,,,,,,,,,,,,
SEMINARS IN HEMATOLOGY,0037-1963,1532-8686,SCIE,4.3,HEMATOLOGY,Q1,23/103,,,,,,,,,,,,,,,
European Urology Open Science,2666-1691,2666-1683,SCIE,4.3,UROLOGY & NEPHROLOGY,Q1,18/134,,,,,,,,,,,,,,,
JOURNAL OF DERMATOLOGICAL TREATMENT,0954-6634,1471-1753,SCIE,4.3,DERMATOLOGY,Q1,14/99,,,,,,,,,,,,,,,
REGULATORY TOXICOLOGY AND PHARMACOLOGY,0273-2300,1096-0295,SCIE,4.3,"MEDICINE, LEGAL",Q1,1/24,PHARMACOLOGY & PHARMACY,Q2,95/356,TOXICOLOGY,Q2,28/106,,,,,,,,,
Policy Design and Practice,N/A,2574-1292,ESCI,4.3,PUBLIC ADMINISTRATION,Q1,14/97,,,,,,,,,,,,,,,
JOURNAL OF SAFETY RESEARCH,0022-4375,1879-1247,SSCI,4.3,ERGONOMICS,Q1,4/24,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,66/443,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q1,16/275,TRANSPORTATION,Q2,24/66,,,,,,
INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,0965-1748,1879-0240,SCIE,4.3,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2,119/328,ENTOMOLOGY,Q1,5/110,,,,,,,,,,,,
ANTIVIRAL RESEARCH,0166-3542,1872-9096,SCIE,4.3,PHARMACOLOGY & PHARMACY,Q2,95/356,VIROLOGY,Q1,7/44,,,,,,,,,,,,
npj Science of Learning,N/A,2056-7936,"SSCI, SCIE",4.3,EDUCATION & EDUCATIONAL RESEARCH,Q1,61/760,NEUROSCIENCES,Q2,98/330,"PSYCHOLOGY, EXPERIMENTAL",Q1,9/104,,,,,,,,,
SYSTEM DYNAMICS REVIEW,0883-7066,1099-1727,SSCI,4.3,MANAGEMENT,Q2,147/426,"SOCIAL SCIENCES, MATHEMATICAL METHODS",Q1,7/70,,,,,,,,,,,,
World Journal of Mens Health,2287-4208,2287-4690,SCIE,4.3,ANDROLOGY,Q1,1/8,UROLOGY & NEPHROLOGY,Q1,18/134,,,,,,,,,,,,
Clinical Epidemiology,1179-1349,1179-1349,SCIE,4.3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,66/443,,,,,,,,,,,,,,,
Environment and Planning A-Economy and Space,0308-518X,1472-3409,SSCI,4.3,ENVIRONMENTAL STUDIES,Q2,66/202,GEOGRAPHY,Q1,17/174,,,,,,,,,,,,
International Braz J Urol,1677-5538,1677-6119,SCIE,4.3,UROLOGY & NEPHROLOGY,Q1,18/134,,,,,,,,,,,,,,,
Reproductive Medicine and Biology,1445-5781,1447-0578,SCIE,4.3,OBSTETRICS & GYNECOLOGY,Q1,14/143,REPRODUCTIVE BIOLOGY,Q1,7/44,,,,,,,,,,,,
MICROBIAL ECOLOGY,0095-3628,1432-184X,SCIE,4.3,ECOLOGY,Q1,40/205,MARINE & FRESHWATER BIOLOGY,Q1,11/124,MICROBIOLOGY,Q2,57/167,,,,,,,,,
WOUND REPAIR AND REGENERATION,1067-1927,1524-475X,SCIE,4.3,CELL BIOLOGY,Q2,94/207,DERMATOLOGY,Q1,14/99,"MEDICINE, RESEARCH & EXPERIMENTAL",Q2,64/191,SURGERY,Q1,28/321,,,,,,
APPLIED ACOUSTICS,0003-682X,1872-910X,SCIE,4.3,ACOUSTICS,Q1,6/41,,,,,,,,,,,,,,,
Acta Crystallographica Section D-Structural Biology,2059-7983,2059-7983,SCIE,4.3,BIOCHEMICAL RESEARCH METHODS,Q1,19/85,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2,119/328,BIOPHYSICS,Q1,17/81,CRYSTALLOGRAPHY,Q1,3/31,,,,,,
Evolution Letters,N/A,2056-3744,SCIE,4.3,EVOLUTIONARY BIOLOGY,Q1,9/54,,,,,,,,,,,,,,,
JOURNAL OF NEUROSCIENCE,0270-6474,1529-2401,SCIE,4.3,NEUROSCIENCES,Q2,98/330,,,,,,,,,,,,,,,
EUROPEAN JOURNAL OF NEUROLOGY,1351-5101,1468-1331,SCIE,4.3,CLINICAL NEUROLOGY,Q1,57/296,NEUROSCIENCES,Q2,98/330,,,,,,,,,,,,
JOURNAL OF MAGNETIC RESONANCE IMAGING,1053-1807,1522-2586,SCIE,4.3,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Q1,40/217,,,,,,,,,,,,,,,
JOURNAL OF PHYCOLOGY,N/A,1529-8817,SCIE,4.3,MARINE & FRESHWATER BIOLOGY,Q1,11/124,PLANT SCIENCES,Q1,54/285,,,,,,,,,,,,
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,1473-7159,1744-8352,SCIE,4.3,PATHOLOGY,Q1,11/89,,,,,,,,,,,,,,,
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,0022-3565,1521-0103,SCIE,4.3,PHARMACOLOGY & PHARMACY,Q2,95/356,,,,,,,,,,,,,,,
European Journal of Microbiology and Immunology,2062-8633,2062-8633,ESCI,4.3,MICROBIOLOGY,Q2,57/167,,,,,,,,,,,,,,,
LUNG,0341-2040,1432-1750,SCIE,4.3,RESPIRATORY SYSTEM,Q1,25/107,,,,,,,,,,,,,,,
Frontiers in Forests and Global Change,N/A,2624-893X,SCIE,4.3,ECOLOGY,Q1,40/205,FORESTRY,Q1,10/92,,,,,,,,,,,,
Frontiers in Physiology,N/A,1664-042X,SCIE,4.3,PHYSIOLOGY,Q1,15/89,,,,,,,,,,,,,,,
Journal of Financial Reporting and Accounting,1985-2517,2042-5856,ESCI,4.3,"BUSINESS, FINANCE",Q1,39/243,,,,,,,,,,,,,,,
Pain Reports,N/A,2471-2531,ESCI,4.3,ANESTHESIOLOGY,Q1,10/72,CLINICAL NEUROLOGY,Q1,57/296,NEUROSCIENCES,Q2,98/330,,,,,,,,,
Water Biology and Security,2097-4132,2772-7351,ESCI,4.3,ENVIRONMENTAL SCIENCES,Q2,156/395,FISHERIES,Q1,12/63,MARINE & FRESHWATER BIOLOGY,Q1,11/124,,,,,,,,,
PARKINSONISM & RELATED DISORDERS,1353-8020,1873-5126,SCIE,4.3,CLINICAL NEUROLOGY,Q1,57/296,,,,,,,,,,,,,,,
JOURNAL OF CLIMATE,0894-8755,1520-0442,SCIE,4.3,METEOROLOGY & ATMOSPHERIC SCIENCES,Q2,35/114,,,,,,,,,,,,,,,
SOCIAL SCIENCE COMPUTER REVIEW,0894-4393,1552-8286,"SCIE, SSCI",4.3,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",Q2,68/185,INFORMATION SCIENCE & LIBRARY SCIENCE,Q1,33/172,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q1,16/275,,,,,,,,,
Plant Genome,N/A,1940-3372,SCIE,4.3,GENETICS & HEREDITY,Q1,43/192,PLANT SCIENCES,Q1,54/285,,,,,,,,,,,,
SAUDI PHARMACEUTICAL JOURNAL,1319-0164,2213-7475,SCIE,4.3,PHARMACOLOGY & PHARMACY,Q2,95/356,,,,,,,,,,,,,,,
OPTICAL MATERIALS,0925-3467,1873-1252,SCIE,4.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q2,208/472,OPTICS,Q2,35/129,,,,,,,,,,,,
SEMINARS IN RADIATION ONCOLOGY,1053-4296,1532-9461,SCIE,4.3,ONCOLOGY,Q2,107/333,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Q1,40/217,,,,,,,,,,,,
GM Crops & Food-Biotechnology in Agriculture and the Food Chain,2164-5698,2164-5701,SCIE,4.3,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Q2,62/180,PLANT SCIENCES,Q1,54/285,,,,,,,,,,,,
School Leadership & Management,1363-2434,1364-2626,ESCI,4.3,EDUCATION & EDUCATIONAL RESEARCH,Q1,61/760,MANAGEMENT,Q2,147/426,,,,,,,,,,,,
CANADIAN GEOTECHNICAL JOURNAL,0008-3674,1208-6010,SCIE,4.3,"ENGINEERING, GEOLOGICAL",Q2,24/68,"GEOSCIENCES, MULTIDISCIPLINARY",Q1,57/259,,,,,,,,,,,,
ANNALS OF AGRICULTURAL SCIENCES,0570-1783,2090-8377,SCIE,4.3,"AGRICULTURE, MULTIDISCIPLINARY",Q1,19/95,,,,,,,,,,,,,,,
Strategic Change-Briefings in Entrepreneurial Finance,1086-1718,1099-1697,ESCI,4.3,"BUSINESS, FINANCE",Q1,39/243,,,,,,,,,,,,,,,
Journal of Fungi,N/A,2309-608X,SCIE,4.3,MICROBIOLOGY,Q2,57/167,MYCOLOGY,Q1,6/33,,,,,,,,,,,,
PSYCHOLOGICAL INQUIRY,1047-840X,1532-7965,SSCI,4.3,"PSYCHOLOGY, MULTIDISCIPLINARY",Q1,28/222,,,,,,,,,,,,,,,
Drug Healthcare and Patient Safety,1179-1365,1179-1365,ESCI,4.3,HEALTH CARE SCIENCES & SERVICES,Q1,38/194,,,,,,,,,,,,,,,
Nondestructive Testing and Evaluation,1058-9759,1477-2671,SCIE,4.3,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",Q1,9/37,,,,,,,,,,,,,,,
Plant Phenome Journal,N/A,2578-2703,ESCI,4.3,PLANT SCIENCES,Q1,54/285,,,,,,,,,,,,,,,
Advanced Quantum Technologies,N/A,2511-9044,SCIE,4.3,OPTICS,Q2,35/129,QUANTUM SCIENCE & TECHNOLOGY,Q2,14/28,,,,,,,,,,,,
Allergy Asthma & Immunology Research,2092-7355,2092-7363,SCIE,4.3,ALLERGY,Q2,12/40,IMMUNOLOGY,Q2,64/183,,,,,,,,,,,,
Geochemical Perspectives Letters,2410-339X,2410-3403,SCIE,4.3,GEOCHEMISTRY & GEOPHYSICS,Q1,16/103,,,,,,,,,,,,,,,
Public Health Ethics,1754-9973,1754-9981,"SSCI, SCIE",4.3,ETHICS,Q1,7/78,MEDICAL ETHICS,Q1,4/22,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,66/443,,,,,,,,,
BUSINESS ETHICS QUARTERLY,1052-150X,2153-3326,SSCI,4.3,BUSINESS,Q2,121/323,ETHICS,Q1,7/78,,,,,,,,,,,,
Australian Prescriber,0312-8008,1839-3942,ESCI,4.3,PHARMACOLOGY & PHARMACY,Q2,95/356,,,,,,,,,,,,,,,
Geography Compass,1749-8198,1749-8198,SSCI,4.3,GEOGRAPHY,Q1,17/174,,,,,,,,,,,,,,,
Biology-Basel,N/A,2079-7737,SCIE,4.3,BIOLOGY,Q1,19/106,,,,,,,,,,,,,,,
APPLIED ORGANOMETALLIC CHEMISTRY,0268-2605,1099-0739,SCIE,4.3,"CHEMISTRY, APPLIED",Q2,22/77,"CHEMISTRY, INORGANIC & NUCLEAR",Q1,9/45,,,,,,,,,,,,
Clinical Proteomics,1542-6416,1559-0275,SCIE,4.3,BIOCHEMICAL RESEARCH METHODS,Q1,19/85,,,,,,,,,,,,,,,
European Heart Journal Open,N/A,2752-4191,ESCI,4.3,CARDIAC & CARDIOVASCULAR SYSTEMS,Q2,60/237,,,,,,,,,,,,,,,
Journal of Zhejiang University-SCIENCE A,1673-565X,1862-1775,SCIE,4.3,"ENGINEERING, MULTIDISCIPLINARY",Q1,35/178,"PHYSICS, APPLIED",Q2,61/191,,,,,,,,,,,,
BIOGEOCHEMISTRY,0168-2563,1573-515X,SCIE,4.3,ENVIRONMENTAL SCIENCES,Q2,156/395,"GEOSCIENCES, MULTIDISCIPLINARY",Q1,57/259,,,,,,,,,,,,
ELECTRIC POWER SYSTEMS RESEARCH,0378-7796,1873-2046,SCIE,4.3,"ENGINEERING, ELECTRICAL & ELECTRONIC",Q2,121/369,,,,,,,,,,,,,,,
FASEB JOURNAL,0892-6638,1530-6860,SCIE,4.3,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2,119/328,BIOLOGY,Q1,19/106,CELL BIOLOGY,Q2,94/207,,,,,,,,,
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,0020-7721,1464-5319,SCIE,4.3,AUTOMATION & CONTROL SYSTEMS,Q2,25/88,"COMPUTER SCIENCE, THEORY & METHODS",Q1,34/146,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,Q2,28/109,,,,,,,,,
Remote Sensing,N/A,2072-4292,SCIE,4.3,ENVIRONMENTAL SCIENCES,Q2,156/395,"GEOSCIENCES, MULTIDISCIPLINARY",Q1,57/259,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,Q2,16/39,REMOTE SENSING,Q2,25/66,,,,,,
Environmental Epigenetics,2058-5888,2058-5888,ESCI,4.3,GENETICS & HEREDITY,Q1,43/192,,,,,,,,,,,,,,,
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,0269-4042,1573-2983,SCIE,4.3,"ENGINEERING, ENVIRONMENTAL",Q3,47/88,ENVIRONMENTAL SCIENCES,Q2,156/395,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,66/443,WATER RESOURCES,Q1,33/132,,,,,,
Nanomedicine-Nanotechnology Biology and Medicine,1549-9634,1549-9642,SCIE,4.3,"MEDICINE, RESEARCH & EXPERIMENTAL",Q2,64/191,NANOSCIENCE & NANOTECHNOLOGY,Q3,79/148,,,,,,,,,,,,
ACM Transactions on Internet of Things,2691-1914,2577-6207,ESCI,4.3,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Q2,98/266,"ENGINEERING, ELECTRICAL & ELECTRONIC",Q2,121/369,TELECOMMUNICATIONS,Q2,51/127,,,,,,,,,
Geoenvironmental Disasters,N/A,2197-8670,ESCI,4.3,ENVIRONMENTAL SCIENCES,Q2,156/395,"GEOSCIENCES, MULTIDISCIPLINARY",Q1,57/259,,,,,,,,,,,,
Frontiers in Fungal Biology,N/A,2673-6128,ESCI,4.3,MYCOLOGY,Q1,6/33,,,,,,,,,,,,,,,
Journal of Cereal Science,0733-5210,1095-9963,SCIE,4.3,FOOD SCIENCE & TECHNOLOGY,Q2,67/187,,,,,,,,,,,,,,,
