刊物简称,Journal,年份,出版社,网址,领域,CCF推荐类别（国际学术刊物/会议）,CCF推荐类型,合并/更名为
ISMAR,International Symposium on Mixed and Augmented Reality,2019,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ismar/,计算机图形学与多媒体,推荐国际学术会议,B类,
PG,Pacific Graphics: The Pacific Conference on Computer Graphics and Applications,2019,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/pg/index.html,计算机图形学与多媒体,推荐国际学术会议,B类,
SPM,Symposium on Solid and Physical Modeling,2019,SMA/Elsevier,http://dblp.uni-trier.de/db/conf/sma/,计算机图形学与多媒体,推荐国际学术会议,B类,
,ACM Symposium on Virtual Reality Software and Technology,2019,ACM,http://dblp2.uni-trier.de/db/conf/vrst/,计算机图形学与多媒体,推荐国际学术会议,C类,
CASA,Computer Animation and Social Agents,2019,Wiley,http://dblp.uni-trier.de/db/conf/ca/,计算机图形学与多媒体,推荐国际学术会议,C类,
CGI,Computer Graphics International,2019,Springer,http://dblp.uni-trier.de/db/conf/cgi/,计算机图形学与多媒体,推荐国际学术会议,C类,
INTERSPEECH,Conference of the International Speech Communication Association,2019,,http://dblp.uni-trier.de/db/conf/interspeech/index.html,计算机图形学与多媒体,推荐国际学术会议,C类,
GMP,Geometric Modeling and Processing,2019,Elsevier,http://dblp.uni-trier.de/db/conf/gmp/,计算机图形学与多媒体,推荐国际学术会议,C类,
PacificVis,IEEE Pacific Visualization Symposium,2019,IEEE,http://dblp.uni-trier.de/db/conf/apvis/,计算机图形学与多媒体,推荐国际学术会议,C类,
3DV,International Conference on 3D Vision,2019,IEEE,https://dblp.uni-trier.de/db/conf/3dim/,计算机图形学与多媒体,推荐国际学术会议,C类,
CAD/Graphics,International Conference on Computer-Aided Design and Computer Graphics,2019,IEEE,https://dblp.uni-trier.de/db/conf/cadgraphics/,计算机图形学与多媒体,推荐国际学术会议,C类,
ICIP,International Conference on Image Processing,2019,IEEE,http://dblp.uni-trier.de/db/conf/icip/,计算机图形学与多媒体,推荐国际学术会议,C类,
MMM,International Conference on Multimedia Modeling,2019,Springer,http://dblp.uni-trier.de/db/conf/mmm/index.html,计算机图形学与多媒体,推荐国际学术会议,C类,
PCM,Pacific-Rim Conference on Multimedia,2019,Springer,http://dblp.uni-trier.de/db/conf/pcm/,计算机图形学与多媒体,推荐国际学术会议,C类,
SMI,Shape Modeling International,2019,IEEE,http://dblp.uni-trier.de/db/conf/smi/,计算机图形学与多媒体,推荐国际学术会议,C类,
TOCHI,ACM Transactions on Computer-Human Interaction,2019,ACM,http://dblp.uni-trier.de/db/journals/tochi/,人机交互与普适计算,推荐国际学术刊物,A类,
IJHCS,International Journal of Human-Computer Studies,2019,Elsevier,http://dblp.uni-trier.de/db/journals/ijmms/,人机交互与普适计算,推荐国际学术刊物,A类,
CSCW,Computer Supported Cooperative Work-The Journal of Collaborative Computing and Work Practices,2019,Springer,http://dblp.uni-trier.de/db/journals/cscw/,人机交互与普适计算,推荐国际学术刊物,B类,
HCI,Human-Computer Interaction,2019,Taylor &Francis,http://dblp.uni-trier.de/db/journals/hhci/,人机交互与普适计算,推荐国际学术刊物,B类,
,IEEE Transactions on Human-Machine Systems,2019,IEEE,http://dblp.uni-trier.de/db/journals/thms/,人机交互与普适计算,推荐国际学术刊物,B类,
IWC,Interacting with Computers,2019,Oxford University Press,http://dblp.uni-trier.de/db/journals/iwc/,人机交互与普适计算,推荐国际学术刊物,B类,
IJHCI,International Journal of Human-Computer Interaction,2019,Taylor &Francis,http://dblp.uni-trier.de/db/journals/ijhci/,人机交互与普适计算,推荐国际学术刊物,B类,
UMUAI,User Modeling and User-Adapted Interaction,2019,Springer,http://dblp.uni-trier.de/db/journals/umuai/,人机交互与普适计算,推荐国际学术刊物,B类,
BIT,Behaviour & Information Technology,2019,Taylor & Francis,http://dblp.uni-trier.de/db/journals/behaviourIT/,人机交互与普适计算,推荐国际学术刊物,C类,
PUC,Personal and Ubiquitous Computing,2019,Springer,http://dblp.uni-trier.de/db/journals/puc/,人机交互与普适计算,推荐国际学术刊物,C类,
PMC,Pervasive and Mobile Computing,2019,Elsevier,http://dblp.uni-trier.de/db/journals/percom/,人机交互与普适计算,推荐国际学术刊物,C类,
CSCW,ACM Conference on Computer Supported Cooperative Work and Social Computing,2019,ACM,http://dblp.uni-trier.de/db/conf/cscw,人机交互与普适计算,推荐国际学术会议,A类,
CHI,ACM Conference on Human Factors in Computing Systems,2019,ACM,http://dblp.uni-trier.de/db/conf/chi,人机交互与普适计算,推荐国际学术会议,A类,
UbiComp,ACM International Conference on Ubiquitous Computing,2019,ACM,http://dblp.uni-trier.de/db/conf/huc/,人机交互与普适计算,推荐国际学术会议,A类,
GROUP,ACM Conference on Supporting Group Work,2019,ACM,http://dblp.uni-trier.de/db/conf/group/,人机交互与普适计算,推荐国际学术会议,B类,
IUI,ACM International Conference on Intelligent User Interfaces,2019,ACM,http://dblp.uni-trier.de/db/conf/iui/,人机交互与普适计算,推荐国际学术会议,B类,
ITS,ACM International Conference on Interactive Tabletops and Surfaces,2019,ACM,http://dblp.uni-trier.de/db/conf/tabletop/,人机交互与普适计算,推荐国际学术会议,B类,
UIST,ACM Symposium on User Interface Software and Technology,2019,ACM,http://dblp.uni-trier.de/db/conf/uist/,人机交互与普适计算,推荐国际学术会议,B类,
ECSCW,European Conference on Computer Supported Cooperative Work,2019,Springer,http://dblp.uni-trier.de/db/conf/ecscw/,人机交互与普适计算,推荐国际学术会议,B类,
PERCOM,IEEE International Conference on Pervasive Computing and Communications,2019,IEEE,http://dblp.uni-trier.de/db/conf/percom/,人机交互与普适计算,推荐国际学术会议,B类,
MobileHCI,International Conference on Human Computer Interaction with Mobile Devices and Services,2019,ACM,http://dblp.uni-trier.de/db/conf/mhci/,人机交互与普适计算,推荐国际学术会议,B类,
DIS,ACM Conference on Designing Interactive Systems,2019,ACM,http://dblp.uni-trier.de/db/conf/ACMdis/,人机交互与普适计算,推荐国际学术会议,C类,
ICMI,ACM International Conference on Multimodal Interaction,2019,ACM,http://dblp.uni-trier.de/db/conf/icmi/,人机交互与普适计算,推荐国际学术会议,C类,
ASSETS,ACM SIGACCESS Conference on Computers and Accessibility,2019,ACM,http://dblp.uni-trier.de/db/conf/assets,人机交互与普适计算,推荐国际学术会议,C类,
GI,Graphics Interface conference,2019,ACM,http://dblp.uni-trier.de/db/conf/graphicsinterface/,人机交互与普适计算,推荐国际学术会议,C类,
UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,2019,IEEE,http://dblp.uni-trier.de/db/conf/uic/,人机交互与普适计算,推荐国际学术会议,C类,
,IEEE World Haptics Conference,2019,IEEE,http://dblp.uni-trier.de/db/conf/haptics/,人机交互与普适计算,推荐国际学术会议,C类,
INTERACT,IFIP TC13 Conference on Human-Computer Interaction,2019,IFIP,http://dblp.uni-trier.de/db/conf/interact/,人机交互与普适计算,推荐国际学术会议,C类,
IDC,Interaction Design and Children,2019,ACM,http://dblp.uni-trier.de/db/conf/acmidc/,人机交互与普适计算,推荐国际学术会议,C类,
CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",2019,Springer,http://collaboratecom.org,人机交互与普适计算,推荐国际学术会议,C类,
CSCWD,International Conference on Computer Supported Cooperative Work in Design,2019,Springer,http://dblp.uni-trier.de/db/conf/cscwd/,人机交互与普适计算,推荐国际学术会议,C类,
CoopIS,International Conference on Cooperative Information Systems,2019,Springer,http://dblp.uni-trier.de/db/conf/coopis/,人机交互与普适计算,推荐国际学术会议,C类,
MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing,Networking and Services",2019,Springer,http://dblp.uni-trier.de/db/conf/mobiquitous/,人机交互与普适计算,推荐国际学术会议,C类,
AVI,International Working Conference on Advanced Visual Interfaces,2019,ACM,http://dblp.uni-trier.de/db/conf/avi/,人机交互与普适计算,推荐国际学术会议,C类,
TODS,ACM Transactions on Database Systems,2019,ACM,http://dblp.uni-trier.de/db/journals/tods/,数据库/数据挖掘/内容检索,推荐国际学术刊物,A类,
TOIS,ACM Transactions on Information Systems,2019,ACM,http://dblp.uni-trier.de/db/journals/tois/,数据库/数据挖掘/内容检索,推荐国际学术刊物,A类,
TKDE,IEEE Transactions on Knowledge and Data Engineering,2019,IEEE,http://dblp.uni-trier.de/db/journals/tkde/,数据库/数据挖掘/内容检索,推荐国际学术刊物,A类,
VLDBJ,VLDB Journal,2019,Springer,http://dblp.uni-trier.de/db/journals/vldb/,数据库/数据挖掘/内容检索,推荐国际学术刊物,A类,
TKDD,ACM Transactions on Knowledge Discovery from Data,2019,ACM,http://dblp.uni-trier.de/db/journals/tkdd/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
TWEB,ACM Transactions on the Web,2019,ACM,http://dblp.uni-trier.de/db/journals/tweb/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
AEI,Advanced Engineering Informatics,2019,Elsevier,http://dblp.uni-trier.de/db/journals/aei/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
DKE,Data and Knowledge Engineering,2019,Elsevier,http://dblp.uni-trier.de/db/journals/dke/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
DMKD,Data Mining and Knowledge Discovery,2019,Springer,http://dblp.uni-trier.de/db/journals/datamine/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
EJIS,European Journal of Information Systems,2019,The OR Society,http://dblp.uni-trier.de/db/journals/ejis/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
,GeoInformatica,2019,Springer,http://dblp.uni-trier.de/db/journals/geoinformatica/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
IPM,Information Processing & Management,2019,Elsevier,http://dblp.uni-trier.de/db/journals/ipm/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
,Information Sciences,2019,Elsevier,http://dblp.uni-trier.de/db/journals/isci/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
IS,Information Systems,2019,Elsevier,http://dblp.uni-trier.de/db/journals/is/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
JASIST,Journal of the American Society for Information Science and Technology,2019,American Society for Information Science and Technology,http://dblp.uni-trier.de/db/journals/jasis/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,Journal of the Association for Information Science and Technology
JWS,Journal of Web Semantics,2019,Elsevier,http://dblp.uni-trier.de/db/journals/ws/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
KAIS,Knowledge and Information Systems,2019,Springer,http://dblp.uni-trier.de/db/journals/kais/,数据库/数据挖掘/内容检索,推荐国际学术刊物,B类,
DPD,Distributed and Parallel Databases,2019,Springer,http://dblp.uni-trier.de/db/journals/dpd/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
I&M,Information & Management,2019,Elsevier,http://dblp.uni-trier.de/db/journals/iam/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
IPL,Information Processing Letters,2019,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
IR,Information Retrieval Journal,2019,Springer,http://dblp.uni-trier.de/db/journals/ir/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
IJCIS,International Journal of Cooperative Information Systems,2019,World Scientific,http://dblp.uni-trier.de/db/journals/ijcis/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
IJGIS,International Journal of Geographical Information Science,2019,Taylor & Francis,http://dblp.uni-trier.de/db/journals/gis/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
IJIS,International Journal of Intelligent Systems,2019,Wiley,http://dblp.uni-trier.de/db/journals/ijis/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
IJKM,International Journal of Knowledge Management,2019,IGI,http://dblp.uni-trier.de/db/journals/ijkm/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
IJSWIS,International Journal on Semantic Web and Information Systems,2019,IGI,http://dblp.uni-trier.de/db/journals/ijswis/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
JCIS,Journal of Computer Information Systems,2019,IACIS,http://dblp.uni-trier.de/db/journals/jcis/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
JDM,Journal of Database Management,2019,IGI-Global,http://dblp.uni-trier.de/db/journals/jdm/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
JGITM,Journal of Global Information Technology Management,2019,Ivy League Publishing,http://www.tandfonline.com/loi/ugit20#.Vnv35pN97rI,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
JIIS,Journal of Intelligent Information Systems,2019,Springer,http://dblp.uni-trier.de/db/journals/jiis/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
JSIS,Journal of Strategic Information Systems,2019,Elsevier,http://dblp.uni-trier.de/db/journals/jsis/,数据库/数据挖掘/内容检索,推荐国际学术刊物,C类,
SIGMOD,ACM Conference on Management of Data,2019,ACM,http://dblp.uni-trier.de/db/conf/sigmod/,数据库/数据挖掘/内容检索,推荐国际学术会议,A类,
SIGKDD,ACM Knowledge Discovery and Data Mining,2019,ACM,http://dblp.uni-trier.de/db/conf/kdd/,数据库/数据挖掘/内容检索,推荐国际学术会议,A类,
ICDE,IEEE International Conference on Data Engineering,2019,IEEE,http://dblp.uni-trier.de/db/conf/icde/,数据库/数据挖掘/内容检索,推荐国际学术会议,A类,
SIGIR,International Conference on Research on Development in Information Retrieval,2019,ACM,http://dblp.uni-trier.de/db/conf/sigir/,数据库/数据挖掘/内容检索,推荐国际学术会议,A类,
VLDB,International Conference on Very Large Data Bases,2019,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/vldb/,数据库/数据挖掘/内容检索,推荐国际学术会议,A类,
CIKM,ACM International Conference on Information and Knowledge Management,2019,ACM,http://dblp.uni-trier.de/db/conf/cikm/,数据库/数据挖掘/内容检索,推荐国际学术会议,B类,
WSDM,ACM International Conference on Web Search and Data Mining,2019,ACM,http://dblp.uni-trier.de/db/conf/wsdm/,数据库/数据挖掘/内容检索,推荐国际学术会议,B类,
PODS,ACM Symposium on Principles of Database Systems,2019,ACM,http://dblp.uni-trier.de/db/conf/pods/,数据库/数据挖掘/内容检索,推荐国际学术会议,B类,
DASFAA,Database Systems for Advanced Applications,2019,Springer,http://dblp.uni-trier.de/db/conf/dasfaa/,数据库/数据挖掘/内容检索,推荐国际学术会议,B类,
ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,2019,Springer,http://dblp.uni-trier.de/db/conf/ecml/,数据库/数据挖掘/内容检索,推荐国际学术会议,B类,
ISWC,IEEE International Semantic Web Conference,2019,IEEE,http://dblp.uni-trier.de/db/conf/semweb/,数据库/数据挖掘/内容检索,推荐国际学术会议,B类,
ICDM,International Conference on Data Mining,2019,IEEE,http://dblp.uni-trier.de/db/conf/icdm/,数据库/数据挖掘/内容检索,推荐国际学术会议,B类,
ICDT,International Conference on Database Theory,2019,Springer,http://dblp.uni-trier.de/db/conf/icdt/,数据库/数据挖掘/内容检索,推荐国际学术会议,B类,
EDBT,International Conference on Extending DB Technology,2019,Springer,http://dblp.uni-trier.de/db/conf/edbt/,数据库/数据挖掘/内容检索,推荐国际学术会议,B类,
CIDR,International Conference on Innovative Data Systems Research,2019,Online Proceeding,http://dblp.uni-trier.de/db/conf/cidr/,数据库/数据挖掘/内容检索,推荐国际学术会议,B类,
SDM,SIAM International Conference on Data Mining,2019,SIAM,http://dblp.uni-trier.de/db/conf/sdm/,数据库/数据挖掘/内容检索,推荐国际学术会议,B类,
APWeb,Asia Pacific Web Conference,2019,Springer,http://dblp.uni-trier.de/db/conf/apweb/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
DEXA,Database and Expert System Applications,2019,Springer,http://dblp.uni-trier.de/db/conf/dexa/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
ECIR,European Conference on IR Research,2019,Springer,http://dblp.uni-trier.de/db/conf/ecir/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
ESWC,Extended Semantic Web Conference,2019,Elsevier,http://dblp.uni-trier.de/db/conf/esws/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
WebDB,International ACM Workshop on Web and Databases,2019,ACM,http://dblp.uni-trier.de/db/conf/webdb/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
ER,International Conference on Conceptual Modeling,2019,Springer,http://dblp.uni-trier.de/db/conf/er/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
MDM,International Conference on Mobile Data Management,2019,IEEE,http://dblp.uni-trier.de/db/conf/mdm/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
SSDBM,International Conference on Scientific and Statistical DB Management,2019,IEEE,http://dblp.uni-trier.de/db/conf/ssdbm/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
WAIM,International Conference on Web Age Information Management,2019,Springer,http://dblp.uni-trier.de/db/conf/waim/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
SSTD,International Symposium on Spatial and Temporal Databases,2019,Springer,http://dblp.uni-trier.de/db/conf/ssd/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2019,Springer,http://dblp.uni-trier.de/db/conf/pakdd/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
WISE,Web Information Systems Engineering,2019,Springer,http://dblp.uni-trier.de/db/conf/wise/,数据库/数据挖掘/内容检索,推荐国际学术会议,C类,
TIT,IEEE Transactions on Information Theory,2019,IEEE,http://dblp.uni-trier.de/db/journals/tit/,计算机科学理论,推荐国际学术刊物,A类,
IANDC,Information and Computation,2019,Elsevier,http://dblp.uni-trier.de/db/journals/iandc/,计算机科学理论,推荐国际学术刊物,A类,
SICOMP,SIAM Journal on Computing,2019,SIAM,http://dblp.uni-trier.de/db/journals/siamcomp/,计算机科学理论,推荐国际学术刊物,A类,
TALG,ACM Transactions on Algorithms,2019,ACM,http://dblp.uni-trier.de/db/journals/talg/,计算机科学理论,推荐国际学术刊物,B类,
TOCL,ACM Transactions on Computational Logic,2019,ACM,http://dblp.uni-trier.de/db/journals/tocl/,计算机科学理论,推荐国际学术刊物,B类,
TOMS,ACM Transactions on Mathematical Software,2019,ACM,http://dblp.uni-trier.de/db/journals/toms/,计算机科学理论,推荐国际学术刊物,B类,
Algorithmica,Algorithmica,2019,Springer,http://dblp.uni-trier.de/db/journals/algorithmica/,计算机科学理论,推荐国际学术刊物,B类,
CC,Computational complexity,2019,Springer,http://dblp.uni-trier.de/db/journals/cc/,计算机科学理论,推荐国际学术刊物,B类,
FAC,Formal Aspects of Computing,2019,Springer,http://dblp.uni-trier.de/db/journals/fac/,计算机科学理论,推荐国际学术刊物,B类,
FMSD,Formal Methods in System Design,2019,Springer,http://dblp.uni-trier.de/db/journals/fmsd/,计算机科学理论,推荐国际学术刊物,B类,
INFORMS,INFORMS Journal on Computing,2019,INFORMS,http://dblp.uni-trier.de/db/journals/informs/,计算机科学理论,推荐国际学术刊物,B类,
JCSS,Journal of Computer and System Sciences,2019,Elsevier,http://dblp.uni-trier.de/db/journals/jcss/,计算机科学理论,推荐国际学术刊物,B类,
JGO,Journal of Global Optimization,2019,Springer,http://dblp.uni-trier.de/db/journals/jgo/,计算机科学理论,推荐国际学术刊物,B类,
JSC,Journal of Symbolic Computation,2019,Elsevier,http://dblp.uni-trier.de/db/journals/jsc/,计算机科学理论,推荐国际学术刊物,B类,
MSCS,Mathematical Structures in Computer Science,2019,Cambridge University Press,http://dblp.uni-trier.de/db/journals/mscs/,计算机科学理论,推荐国际学术刊物,B类,
TCS,Theoretical Computer Science,2019,Elsevier,http://dblp.uni-trier.de/db/journals/tcs/,计算机科学理论,推荐国际学术刊物,B类,
ACTA,Acta Informatica,2019,Springer,http://dblp.uni-trier.de/db/journals/acta/,计算机科学理论,推荐国际学术刊物,C类,
APAL,Annals of Pure and Applied Logic,2019,Elsevier,http://dblp.uni-trier.de/db/journals/apal/,计算机科学理论,推荐国际学术刊物,C类,
DAM,Discrete Applied Mathematics,2019,Elsevier,http://dblp.uni-trier.de/db/journals/dam/,计算机科学理论,推荐国际学术刊物,C类,
FUIN,Fundamenta Informaticae,2019,IOS Press,http://dblp.uni-trier.de/db/journals/fuin/,计算机科学理论,推荐国际学术刊物,C类,
LISP,Higher-Order and Symbolic Computation,2019,Springer,http://dblp.uni-trier.de/db/journals/lisp/,计算机科学理论,推荐国际学术刊物,C类,已停刊
IPL,Information Processing Letters,2019,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/,计算机科学理论,推荐国际学术刊物,C类,
JCOMPLEXITY,Journal of Complexity,2019,Elsevier,http://dblp.uni-trier.de/db/journals/jc/,计算机科学理论,推荐国际学术刊物,C类,
LOGCOM,Journal of Logic and Computation,2019,Oxford University Press,http://dblp.uni-trier.de/db/journals/logcom/,计算机科学理论,推荐国际学术刊物,C类,
JSL,Journal of Symbolic Logic,2019,Association for Symbolic Logic,http://dblp.uni-trier.de/db/journals/jsyml/,计算机科学理论,推荐国际学术刊物,C类,
LMCS,Logical Methods in Computer Science,2019,LMCS,http://dblp.uni-trier.de/db/journals/lmcs/,计算机科学理论,推荐国际学术刊物,C类,
SIDMA,SIAM Journal on Discrete Mathematics,2019,SIAM,http://dblp.uni-trier.de/db/journals/siamdm/,计算机科学理论,推荐国际学术刊物,C类,
,Theory of Computing Systems,2019,Springer,http://dblp.uni-trier.de/db/journals/mst/,计算机科学理论,推荐国际学术刊物,C类,
STOC,ACM Symposium on Theory of Computing,2019,ACM,http://dblp.uni-trier.de/db/conf/stoc/,计算机科学理论,推荐国际学术会议,A类,
SODA,ACM-SIAM Symposium on Discrete Algorithms,2019,SIAM,http://dblp.uni-trier.de/db/conf/soda/,计算机科学理论,推荐国际学术会议,A类,
CAV,Computer Aided Verification,2019,Springer,http://dblp.uni-trier.de/db/conf/cav/,计算机科学理论,推荐国际学术会议,A类,
FOCS,IEEE Annual Symposium on Foundations of Computer Science,2019,IEEE,http://dblp.uni-trier.de/db/conf/focs/,计算机科学理论,推荐国际学术会议,A类,
LICS,IEEE Symposium on Logic in Computer Science,2019,IEEE,http://dblp.uni-trier.de/db/conf/lics/,计算机科学理论,推荐国际学术会议,A类,
SoCG,ACM Symposium on Computational Geometry,2019,ACM,http://dblp.uni-trier.de/db/conf/compgeom/,计算机科学理论,推荐国际学术会议,B类,
ESA,European Symposium on Algorithms,2019,Springer,http://dblp.uni-trier.de/db/conf/esa/,计算机科学理论,推荐国际学术会议,B类,
CCC,IEEE Conference on Computational Complexity,2019,IEEE,http://dblp.uni-trier.de/db/conf/coco/,计算机科学理论,推荐国际学术会议,B类,
ICALP,"International Colloquium on Automata, Languages and Programming",2019,Springer,http://dblp.uni-trier.de/db/conf/icalp/,计算机科学理论,推荐国际学术会议,B类,
CADE/IJCAR,International Conference on Automated Deduction/International Joint Conference on Automated Reasoning,2019,Springer,http://dblp.uni-trier.de/db/conf/cade/,计算机科学理论,推荐国际学术会议,B类,
CONCUR,International Conference on Concurrency Theory,2019,Springer,http://dblp.uni-trier.de/db/conf/concur/,计算机科学理论,推荐国际学术会议,B类,
HSCC,International Conference on Hybrid Systems: Computation and Control,2019,Springer and ACM,http://dblp.uni-trier.de/db/conf/hybrid/,计算机科学理论,推荐国际学术会议,B类,
SAT,Theory and Applications of Satisfiability Testing,2019,Springer,http://dblp.uni-trier.de/db/conf/sat/,计算机科学理论,推荐国际学术会议,B类,
CSL,Computer Science Logic,2019,Springer,http://dblp.uni-trier.de/db/conf/csl/,计算机科学理论,推荐国际学术会议,C类,
FMCAD,Formal Method in Computer-Aided Design,2019,ACM,http://dblp.uni-trier.de/db/conf/fmcad/,计算机科学理论,推荐国际学术会议,C类,
FSTTCS,Foundations of Software Technology and Theoretical Computer Science,2019,Indian Association for Research in Computing Science,http://dblp.uni-trier.de/db/conf/fsttcs/,计算机科学理论,推荐国际学术会议,C类,
DSAA,IEEE International Conference on Data Science and Advanced Analytics,2019,IEEE,https://dblp.uni-trier.de/db/conf/dsaa/,计算机科学理论,推荐国际学术会议,C类,
ICTAC,International Colloquium on Theoretical Aspects of Computing,2019,Springer,http://dblp.uni-trier.de/db/conf/ictac/,计算机科学理论,推荐国际学术会议,C类,
IPCO,International Conference on Integer Programming and Combinatorial Optimization,2019,Springer,http://dblp.uni-trier.de/db/conf/ipco/,计算机科学理论,推荐国际学术会议,C类,
RTA,International Conference on Rewriting Techniques and Applications,2019,Springer,http://dblp.uni-trier.de/db/conf/rta/,计算机科学理论,推荐国际学术会议,C类,
ISAAC,International Symposium on Algorithms and Computation,2019,Springer,http://dblp.uni-trier.de/db/conf/isaac/,计算机科学理论,推荐国际学术会议,C类,
MFCS,Mathematical Foundations of Computer Science,2019,Springer,http://dblp.uni-trier.de/db/conf/mfcs/,计算机科学理论,推荐国际学术会议,C类,
STACS,Symposium on Theoretical Aspects of Computer Science,2019,Springer,http://dblp.uni-trier.de/db/conf/stacs/,计算机科学理论,推荐国际学术会议,C类,
TOCS,ACM Transactions on Computer Systems,2019,ACM,http://dblp.uni-trier.de/db/journals/tocs/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,A类,
TOS,ACM Transactions on Storage,2019,ACM,http://dblp.uni-trier.de/db/journals/tos/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,A类,
TCAD,IEEE Transactions On Computer-Aided Design Of Integrated Circuits And Systems,2019,IEEE,http://dblp.uni-trier.de/db/journals/tcad/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,A类,
TC,IEEE Transactions on Computers,2019,IEEE,http://dblp.uni-trier.de/db/journals/tc/index.html,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,A类,
TPDS,IEEE Transactions on Parallel and Distributed Systems,2019,IEEE,http://dblp.uni-trier.de/db/journals/tpds/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,A类,
TACO,ACM Transactions on Architecture and Code Optimization,2019,ACM,http://dblp.uni-trier.de/db/journals/taco/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,B类,
TAAS,ACM Transactions on Autonomous and Adaptive Systems,2019,ACM,http://dblp.uni-trier.de/db/journals/taas/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,B类,
TODAES,ACM Transactions on Design Automation of Electronic Systems,2019,ACM,http://dblp.uni-trier.de/db/journals/todaes/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,B类,
TECS,ACM Transactions on Embedded Computing Systems,2019,ACM,http://dblp.uni-trier.de/db/journals/tecs/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,B类,
TRETS,ACM Transactions on Reconfigurable Technology and Systems,2019,ACM,http://dblp.uni-trier.de/db/journals/trets/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,B类,
TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2019,IEEE,http://dblp.uni-trier.de/db/journals/tvlsi/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,B类,
JPDC,Journal of Parallel and Distributed Computing,2019,Elsevier,http://dblp.uni-trier.de/db/journals/jpdc/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,B类,
JSA,Journal of Systems Architecture,2019,Elsevier,http://dblp.uni-trier.de/db/journals/jsa/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,B类,
PARCO,Parallel Computing,2019,Elsevier,http://dblp.uni-trier.de/db/conf/parco/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,B类,
,Performance Evaluation,2019,Elsevier,http://www.journals.elsevier.com/performance-evaluation/,计算机体系结构/并行与分布计算/存储系统,推荐国际学术刊物,B类,
